#
 0,              dumb,40,  0.21,  0.03,    - *              |                   
 0,             smart,50,  0.22,  0.03,    - *-------       |                   
 0,              dumb,30,  0.22,  0.02,    --*--            |                   
 0,              dumb,50,  0.22,  0.01,    --*              |                   
 0,             smart,20,  0.23,  0.03,      *--------      |                   
 0,             smart,40,  0.23,  0.02,    -- *-----        |                   
 0,              dumb,20,  0.23,  0.04,     - * ----        |                   
 0,             smart,30,  0.24,  0.03,    -- *-------      |                   
#
 1,            asIs,3008,  0.41,  0.31,                   * |              --   
