#
 0,             smart,40,  0.43,  0.11,   -   *  --         |                   
 0,             smart,30,  0.46,  0.09,    -   * --         |                   
#
 1,              dumb,20,  0.50,  0.00,          *-         |                   
 1,             smart,20,  0.50,  0.09, ----     *---       |                   
 1,              dumb,30,  0.50,  0.02,     -----* ----     |                   
 1,              dumb,40,  0.50,  0.07,     --   *          |                   
 1,              dumb,50,  0.50,  0.04, -------  *          |                   
 1,             smart,50,  0.50,  0.07, ------   *-         |                   
#
 2,           asIs,10000,  0.72,  0.09,              -------|  * -----          
