#
 0,             smart,20,  0.36,  0.06,  * ------           |                   
 0,             smart,40,  0.38,  0.06,   *------           |                   
 0,             smart,50,  0.40,  0.06, -  *---------       |                   
 0,             smart,30,  0.40,  0.02, -- *-----           |                   
#
 1,              dumb,30,  0.43,  0.08,    -  *             |                   
 1,              dumb,40,  0.45,  0.10,  --    *            |                   
 1,              dumb,50,  0.47,  0.10, ---     *           |                   
#
 2,              dumb,20,  0.50,  0.00,    ------*-         |                   
#
 3,           asIs,10000,  0.83,  0.17,                     |         *-------- 
